url,raw_size,size,filename
https://ergoauctions.org/632915167f732acba724.module.wasm,431079,1895762,69be8f372b614ee8fdca8d8ec203539207402e75f5a180e2bd271936c44e78da.wasm
https://www.wohnen-im-eigentum.de/sites/all/themes/wie/vendor/Hyphenopoly/hyphenEngine.wasm,1043,1043,86e94e0b1e65eb109d9190fa6362a26ce36960e0e224c3cb2c88cbbccda0eeb2.wasm
https://play.afkarena.com/play/imap.wasm,516284,516284,6686eab94345fba0398e7de33d3e1074db0e18370335c8c3c75512794d04952e.wasm
https://www.grenke.ro/webfiles/1629286089892/de/grenke/website/public/hyphenopoly/hyphenEngine.wasm,1367,1367,cef2872ef824cc87be6d658119166c0294470765927c7bfe681845cd60a09ed7.wasm
https://towerz.io/Build/53ff3a3d52e0eed91c01288e25e3aab4.wasm.gz,6838785,24687200,8db3315ccec6baa3feae65329d8a6f54efa33406ba426c2d3b59eb7d9072a8db.wasm
https://bildung.landkreis-guenzburg.de/assets/public/JavaScript/hyphenopoly/patterns/de.wasm,91880,91880,e7ede85e9190b2573c11745f496ab5ecd41a3b3943c7018841dcb621678ff330.wasm
https://www.apteekki.fi/media/layout/js/hyphenator/hyphenEngine.wasm,793,1366,d71bc42a81917f0e95c1709b14a730652d20cbd8c13fe9c5b15b99b0731315c5.wasm
https://www.udobaer.at/INTERSHOP/static/WFS/UDOBAER-UBAT-Site/-/-/de_DE/js/hyphen-patterns/de.wasm,53775,91880,e7ede85e9190b2573c11745f496ab5ecd41a3b3943c7018841dcb621678ff330.wasm
https://www.grenke.pt/webfiles/1629286089892/de/grenke/website/public/hyphenopoly/hyphenEngine.wasm,1367,1367,cef2872ef824cc87be6d658119166c0294470765927c7bfe681845cd60a09ed7.wasm
https://cdn.cybrxr.com/CYBR-event/build/files/assets/50439464/1/ammo.wasm.wasm,659433,659433,772899614f44ea350189c1c7f181c9d76cf6820c3ead129e8e3d3c0f46dc1799.wasm
https://biomed.ee.ethz.ch/etc/designs/ethz/js/hyphenopoly-3.2.1/hyphenEngine.wasm,1082,1082,500b285d9382b892ad25219eac3c9cd495f424edaf49864cffdd0fd09edc99a6.wasm
https://www.quebradadosapps.com/wp-content/plugins/wp-monero-miner-pro/js/c.wasm,68803,68803,8ebf4e44c47b6b61d313bd2580bd788a1daa029541fe210cccfa13d1bb66cc89.wasm
https://m.expertoption.com/pm.1.0.6/pointProvider.wasm,85244,255748,6d35c64f04fe865b9fc3a8e99980c649ff5f8e870931ed8c9a98b63acbcd77d1.wasm
https://supermercadosplaza.es/files/html/336badf11c10c021c958.module.wasm,42561,42561,6d6213c4ebabf5ec76b3a29169e81ad7f806b5b5f5dde797869afe63356b9dc1.wasm
https://tricksplit.io/bundle.wasm?v2,29065,29065,28bae1140555ed7614799aa8ad9279d6a5c6eb4f118080354100fb2350e6c3ce.wasm
https://www.all-for-one.com/js/hyphenopoly/hyphenEngine.wasm,1082,1082,500b285d9382b892ad25219eac3c9cd495f424edaf49864cffdd0fd09edc99a6.wasm
